Ds,rate_bits
0.3085375387259869,1.0
0.3133241002578372,0.7857027237725331
0.31811066178968755,0.6978155603996811
0.32289722332153786,0.6311254466475843
0.32768378485338817,0.5756427233438667
0.33247034638523854,0.5274965166814612
0.33725690791708884,0.48469667700586216
0.34204346944893915,0.446056047139325
0.3468300309807895,0.41079706909797076
0.3516165925126398,0.37837649288975117
0.3564031540444902,0.34839638405634565
0.3611897155763405,0.32055453487534513
0.3659762771081908,0.29461482331777245
0.3707628386400411,0.2703884947080716
0.3755494001718915,0.2477218062365555
0.3803359617037418,0.22648756888593957
0.38512252323559215,0.20657917801595016
0.38990908476744246,0.1879062897625956
0.39469564629929277,0.17039161898792343
0.3994822078311431,0.15396852161018482
0.40426876936299344,0.13857913811048184
0.40905533089484375,0.12417294665693868
0.4138418924266941,0.11070562061464106
0.4186284539585444,0.09813811590282373
0.42341501549039473,0.08643593445830178
0.42820157702224504,0.0755685244355877
0.4329881385540954,0.06550878788353454
0.43777470008594577,0.05623267387108144
0.4425612616177961,0.047718840282629515
0.4473478231496464,0.03994837137026097
0.4521343846814967,0.032904541029545875
0.456920946213347,0.026572613943141032
0.46170750774519737,0.020939678397390526
0.46649406927704773,0.015994505860563057
0.47128063080889804,0.011727433415271271
0.47606719234074835,0.008130265930995528
0.48085375387259865,0.005196195497624401
0.48564031540444896,0.002919736157636632
0.4904268769362993,0.0012966723999809915
0.4952134384681497,0.00032402023787658774
0.5,0.0
