Ds,rate_bits
0.15865525393145707,1.0
0.16718887258317064,0.8270233328216208
0.17572249123488423,0.748844887598429
0.1842561098865978,0.6861266333765623
0.19278972853831136,0.6319751696161997
0.20132334719002493,0.5836950754482062
0.20985696584173852,0.5398681783791974
0.21839058449345208,0.49962717352066455
0.22692420314516565,0.4623903545661219
0.23545782179687924,0.4277423503877389
0.2439914404485928,0.3953728215810407
0.25252505910030637,0.36504182951050934
0.26105867775201996,0.33655884449825746
0.2695922964037335,0.30976930545240033
0.2781259150554471,0.2845456290859254
0.2866595337071607,0.26078097601646855
0.2951931523588742,0.2383847971966936
0.3037267710105878,0.21727957071171533
0.3122603896623014,0.19739835842113718
0.32079400831401494,0.17868294188305445
0.32932762696572854,0.1610823768279147
0.33786124561744213,0.14455185606197618
0.34639486426915567,0.12905180366571756
0.35492848292086926,0.11454714539697874
0.36346210157258285,0.1010067152515991
0.3719957202242964,0.08840276861611263
0.38052933887601,0.07671057987320329
0.3890629575277236,0.06590810767256916
0.3975965761794371,0.055975714991997716
0.4061301948311507,0.046895934012702756
0.4146638134828643,0.03865326801223046
0.42319743213457783,0.031234024130241456
0.4317310507862914,0.024626172137525604
0.440264669438005,0.018819225324783972
0.44879828808971856,0.013804140407682297
0.45733190674143215,0.009573233963003469
0.46586552539314574,0.00612011340981089
0.4743991440448593,0.003439620956804168
0.48293276269657287,0.001527789276633995
0.49146638134828646,0.0003818079537049046
0.5,0.0
