Ds,Da,rate_bits
0.27,0.05,2.6609640474436813
0.27,0.08227848101265824,2.3219280948873617
0.27,0.11455696202531647,2.3219280948873617
0.27,0.1468354430379747,2.3219280948873617
0.27,0.17911392405063292,2.3219280948873617
0.27,0.21139240506329116,2.3219280948873617
0.27,0.2436708860759494,2.3219280948873617
0.27,0.2759493670886076,2.3219280948873617
0.27,0.30822784810126586,2.3219280948873617
0.27,0.3405063291139241,2.3219280948873617
0.27,0.3727848101265823,2.3219280948873617
0.27,0.40506329113924056,2.3219280948873617
0.27,0.4373417721518988,2.3219280948873617
0.27,0.469620253164557,2.3219280948873617
0.27,0.5018987341772153,2.3219280948873617
0.27,0.5341772151898735,2.3219280948873617
0.27,0.5664556962025318,2.3219280948873617
0.27,0.59873417721519,2.3219280948873617
0.27,0.6310126582278482,2.3219280948873617
0.27,0.6632911392405065,2.3219280948873617
0.27,0.6955696202531647,2.3219280948873617
0.27,0.7278481012658229,2.3219280948873617
0.27,0.7601265822784812,2.3219280948873617
0.27,0.7924050632911395,2.3219280948873617
0.27,0.8246835443037976,2.3219280948873617
0.27,0.8569620253164558,2.3219280948873617
0.27,0.8892405063291141,2.3219280948873617
0.27,0.9215189873417724,2.3219280948873617
0.27,0.9537974683544306,2.3219280948873617
0.27,0.9860759493670888,2.3219280948873617
0.27,1.018354430379747,2.3219280948873617
0.27,1.0506329113924053,2.3219280948873617
0.27,1.0829113924050635,2.3219280948873617
0.27,1.1151898734177217,2.3219280948873617
0.27,1.1474683544303799,2.3219280948873617
0.27,1.1797468354430383,2.3219280948873617
0.27,1.2120253164556964,2.3219280948873617
0.27,1.2443037974683546,2.3219280948873617
0.27,1.276582278481013,2.3219280948873617
0.27,1.3088607594936712,2.3219280948873617
0.27,1.3411392405063294,2.3219280948873617
0.27,1.3734177215189876,2.3219280948873617
0.27,1.4056962025316457,2.3219280948873617
0.27,1.4379746835443041,2.3219280948873617
0.27,1.4702531645569623,2.3219280948873617
0.27,1.5025316455696205,2.3219280948873617
0.27,1.5348101265822789,2.3219280948873617
0.27,1.567088607594937,2.3219280948873617
0.27,1.5993670886075952,2.3219280948873617
0.27,1.6316455696202534,2.3219280948873617
0.27,1.6639240506329116,2.3219280948873617
0.27,1.69620253164557,2.3219280948873617
0.27,1.7284810126582282,2.3219280948873617
0.27,1.7607594936708864,2.3219280948873617
0.27,1.7930379746835448,2.3219280948873617
0.27,1.825316455696203,2.3219280948873617
0.27,1.857594936708861,2.3219280948873617
0.27,1.8898734177215193,2.3219280948873617
0.27,1.9221518987341775,2.3219280948873617
0.27,1.9544303797468359,2.3219280948873617
0.27,1.986708860759494,2.3219280948873617
0.27,2.018987341772152,2.3219280948873617
0.27,2.0512658227848104,2.3219280948873617
0.27,2.0835443037974684,2.3219280948873617
0.27,2.1158227848101268,2.3219280948873617
0.27,2.148101265822785,2.3219280948873617
0.27,2.180379746835443,2.3219280948873617
0.27,2.2126582278481015,2.3219280948873617
0.27,2.2449367088607595,2.3219280948873617
0.27,2.277215189873418,2.3219280948873617
0.27,2.3094936708860763,2.3219280948873617
0.27,2.3417721518987342,2.3219280948873617
0.27,2.3740506329113926,2.3219280948873617
0.27,2.406329113924051,2.3219280948873617
0.27,2.438607594936709,2.3219280948873617
0.27,2.4708860759493674,2.3219280948873617
0.27,2.5031645569620258,2.3219280948873617
0.27,2.5354430379746837,2.3219280948873617
0.27,2.567721518987342,2.3219280948873617
0.27,2.6,2.3219280948873617
0.2868354430379747,0.05,2.6609640474436813
0.2868354430379747,0.08227848101265824,2.3016705150180052
0.2868354430379747,0.11455696202531647,2.06293147799063
0.2868354430379747,0.1468354430379747,1.8838639239684465
0.2868354430379747,0.17911392405063292,1.8813807975217716
0.2868354430379747,0.21139240506329116,1.8813807975217716
0.2868354430379747,0.2436708860759494,1.8813807975217716
0.2868354430379747,0.2759493670886076,1.8813807975217716
