Ds,x,g_x
0.5,-3.0,0.4999997512363116
0.5,-2.975,0.4999997512995338
0.5,-2.95,0.49999975136598035
0.5,-2.925,0.49999975143581465
0.5,-2.9,0.4999997515092081
0.5,-2.875,0.4999997515863414
0.5,-2.85,0.4999997516674036
0.5,-2.825,0.4999997517525936
0.5,-2.8,0.4999997518421199
0.5,-2.775,0.49999975193620166
0.5,-2.75,0.4999997520350689
0.5,-2.725,0.4999997521389627
0.5,-2.7,0.4999997522481365
0.5,-2.675,0.49999975236285626
0.5,-2.65,0.49999975248340073
0.5,-2.625,0.49999975261006285
0.5,-2.6,0.4999997527431494
0.5,-2.575,0.4999997528829827
0.5,-2.55,0.49999975302990085
0.5,-2.525,0.49999975318425777
0.5,-2.5,0.49999975334642555
0.5,-2.475,0.49999975351679354
0.5,-2.45,0.49999975369577065
0.5,-2.425,0.49999975388378504
0.5,-2.4,0.49999975408128566
0.5,-2.375,0.4999997542887427
0.5,-2.35,0.4999997545066493
0.5,-2.325,0.4999997547355218
0.5,-2.3,0.49999975497590093
0.5,-2.275,0.4999997552283532
0.5,-2.25,0.4999997554934713
0.5,-2.225,0.4999997557718762
0.5,-2.2,0.49999975606421754
0.5,-2.175,0.4999997563711748
0.5,-2.15,0.4999997566934589
0.5,-2.125,0.4999997570318135
0.5,-2.1,0.4999997573870159
0.5,-2.075,0.49999975775987826
0.5,-2.05,0.4999997581512496
0.5,-2.025,0.4999997585620166
0.5,-2.0,0.49999975899310495
0.5,-1.9749999999999999,0.499999759445481
0.5,-1.95,0.49999975992015294
0.5,-1.925,0.4999997604181723
0.5,-1.9,0.4999997609406354
0.5,-1.875,0.49999976148868497
0.5,-1.8499999999999999,0.4999997620635107
0.5,-1.825,0.49999976266635154
0.5,-1.7999999999999998,0.4999997632984969
0.5,-1.775,0.4999997639612869
0.5,-1.75,0.4999997646561154
0.5,-1.7249999999999999,0.49999976538442964
0.5,-1.7,0.49999976614773234
0.5,-1.6749999999999998,0.499999766947582
0.5,-1.65,0.4999997677855947
0.5,-1.625,0.49999976866344364
0.5,-1.5999999999999999,0.49999976958286135
0.5,-1.575,0.4999997705456391
0.5,-1.5499999999999998,0.4999997715536275
0.5,-1.525,0.4999997726087368
0.5,-1.5,0.4999997737129365
0.5,-1.4749999999999999,0.49999977486825575
0.5,-1.45,0.49999977607678153
0.5,-1.4249999999999998,0.4999997773406586
0.5,-1.4,0.49999977866208795
0.5,-1.375,0.49999978004332507
0.5,-1.3499999999999999,0.499999781486678
0.5,-1.325,0.4999997829945047
0.5,-1.2999999999999998,0.4999997845692101
0.5,-1.275,0.49999978621324276
0.5,-1.25,0.49999978792909006
0.5,-1.2249999999999999,0.49999978971927456
0.5,-1.2,0.4999997915863483
0.5,-1.1749999999999998,0.49999979353288615
0.5,-1.15,0.49999979556148044
0.5,-1.125,0.4999997976747325
0.5,-1.0999999999999999,0.4999997998752445
0.5,-1.075,0.4999998021656116
0.5,-1.0499999999999998,0.49999980454841064
0.5,-1.025,0.49999980702619073
0.5,-1.0,0.49999980960146095
0.5,-0.9750000000000001,0.4999998122766791
0.5,-0.9499999999999997,0.4999998150542372
0.5,-0.9249999999999998,0.49999981793644854
0.5,-0.8999999999999999,0.49999982092553247
0.5,-0.875,0.499999824023599
0.5,-0.8500000000000001,0.49999982723263253
0.5,-0.8249999999999997,0.4999998305544747
0.5,-0.7999999999999998,0.49999983399080744
0.5,-0.7749999999999999,0.4999998375431341
0.5,-0.75,0.49999984121276186
0.5,-0.7250000000000001,0.4999998450007831
0.5,-0.6999999999999997,0.4999998489080557
0.5,-0.6749999999999998,0.49999985293518584
0.5,-0.6499999999999999,0.4999998570825085
0.5,-0.625,0.4999998613500694
0.5,-0.5999999999999996,0.4999998657376082
0.5,-0.5749999999999997,0.49999987024454157
0.5,-0.5499999999999998,0.49999987486994724
0.5,-0.5249999999999999,0.4999998796125503
0.5,-0.5,0.4999998844707107
0.5,-0.47499999999999964,0.4999998894424109
0.5,-0.44999999999999973,0.4999998945252487
0.5,-0.4249999999999998,0.49999989971642866
0.5,-0.3999999999999999,0.4999999050127594
0.5,-0.375,0.49999991041065034
0.5,-0.34999999999999964,0.49999991590611387
0.5,-0.32499999999999973,0.4999999214947687
0.5,-0.2999999999999998,0.4999999271718469
0.5,-0.2749999999999999,0.49999993293220457
0.5,-0.25,0.4999999387703344
0.5,-0.22499999999999964,0.499999944680383
0.5,-0.19999999999999973,0.49999995065617
0.5,-0.17499999999999982,0.49999995669121056
0.5,-0.1499999999999999,0.4999999627787416
0.5,-0.125,0.4999999689117495
0.5,-0.09999999999999964,0.4999999750830013
0.5,-0.07499999999999973,0.49999998128507733
0.5,-0.04999999999999982,0.4999999875104063
0.5,-0.02499999999999991,0.4999999937513017
0.5,0.0,0.5
0.5,0.025000000000000355,0.5000000062486982
0.5,0.050000000000000266,0.5000000124895937
0.5,0.07500000000000018,0.5000000187149226
0.5,0.10000000000000009,0.5000000249169987
0.5,0.125,0.5000000310882504
0.5,0.15000000000000036,0.5000000372212584
